player.id,short_name,role,xD,danger_pass,minutes,xD_per_90,danger_pass_per_90,xD_rank,danger_pass_rank
808999,W. Alves,Forward,0.0015997481426837873,0,1.0,0.14397733284154085,0.0,1.0,130.5
828739,A. Agbinone,Midfielder,0.03005668667658838,4,5.0,0.11834820378906676,15.75,1.0,1.0
850716,C. Kporha,Defender,0.03798343339029394,4,2.0,0.10445444182330835,11.0,1.0,1.0
930030,H. Armstrong,Midfielder,0.09305651580702046,0,3.0,0.09013591087368325,0.0,2.0,158.5
443740,Carlos Vinícius,Forward,0.05069323519087931,6,5.0,0.07287152558688902,8.625,2.0,2.0
622113,Chiquinho,Forward,0.013493546574047693,2,6.0,0.06746773287023847,10.0,3.0,1.0
423316,L. Sinisterra,Forward,3.136171624915646,216,63.0,0.06685944516656409,4.604862833795417,4.0,4.0
739094,D. Jebbison,Forward,1.27736758388081,96,21.0,0.06292534192282058,4.729126447876448,5.0,3.0
645032,Youssef Chermiti,Forward,0.06383043006554365,4,11.0,0.06184328481137248,3.875473484848485,6.0,5.0
1046087,M. Mane,Forward,0.002349604573017191,0,1.0,0.05286610289288679,0.0,7.0,130.5
776649,J. Danns,Forward,0.005873134134271417,0,10.0,0.05285820720844276,0.0,8.0,130.5
851151,J. Robinson,Midfielder,0.28270423533818784,8,1.0,0.05086452456549549,1.439370712070112,3.0,8.0
536494,M. Mudryk,Forward,0.7821267754352476,42,46.0,0.04961098816471458,2.664096880916103,9.0,8.0
406051,J. Moder,Midfielder,0.13647097175499462,20,3.0,0.04873963276964094,7.142857142857143,4.0,2.0
656521,Carlos Forbs,Forward,1.6993984409752072,80,4.0,0.04371984675052081,2.0581328402505528,10.0,11.0
854404,H. Howell,Forward,0.023226007746339743,0,6.0,0.038710012910566236,0.0,11.0,130.5
247248,S. March,Midfielder,1.390324807437028,104,3.0,0.03798520729678777,2.8413947141951263,5.0,3.0
290954,K. Tierney,Defender,3.513500869696903,182,13.0,0.03616618363244115,1.8734150538781893,2.0,4.0
11066,R. Sterling,Forward,10.311244777140876,374,9.0,0.034603508569614264,1.2551066805946045,12.0,17.0
8501,J. Schlupp,Midfielder,1.0913352304546722,48,8.0,0.03208217333925893,1.4110644257703082,6.0,9.0
529349,Antony,Forward,0.8410244742425081,72,1.0,0.03186384827570995,2.7278600636651484,13.0,7.0
447804,F. Chiesa,Forward,0.3472398394298992,30,18.0,0.03020859408959746,2.60989010989011,14.0,9.0
434172,G. Hirst,Forward,5.882108987052151,260,31.0,0.029898628279127797,1.3215741785275945,15.0,16.0
213312,M. Almirón,Midfielder,0.9874703647588399,63,1.0,0.029631086980694464,1.8904450669156554,7.0,4.0
552926,S. Adingra,Forward,25.157243940471723,1450,43.0,0.02956226561334098,1.7038943232722277,16.0,14.0
825003,M. Moore,Forward,1.8866012968328105,90,1.0,0.028709224986867298,1.3695687865558774,17.0,15.0
653138,R. Sosa,Forward,3.4246180693488095,228,10.0,0.028388143819143744,1.8899908426855663,18.0,12.0
105333,Willian,Forward,3.6048082336395098,160,1.0,0.027956081744111166,1.2408352370361058,19.0,19.0
816545,C. Echeverri,Forward,0.006517564977167322,0,7.0,0.02793242133071709,0.0,20.0,130.5
818118,M. Godo,Forward,0.08130611011815533,2,15.0,0.02737858810101149,0.673469387755102,21.0,40.0
471753,João Félix,Forward,4.381927783134919,204,22.0,0.02666123853425255,1.241210017636673,22.0,18.0
173214,T. Werner,Forward,10.198186858794912,288,12.0,0.02566426805060047,0.7247669905360355,23.0,36.0
865755,C. Obi,Forward,0.21772023353934694,28,1.0,0.024252849144263986,3.119047619047619,24.0,6.0
356000,C. Chaplin,Forward,10.445083052812087,770,65.0,0.02385881823400132,1.7588457599899112,25.0,13.0
453315,A. Grønbæk,Midfielder,0.11676485556158019,8,70.0,0.022875681733416163,1.567299107142857,8.0,7.0
729649,A. Fatawu,Forward,4.651577308877027,132,90.0,0.022239963688125124,0.631113923707148,26.0,44.0
